# ID,label,height,mean_z,std_z,root_density,area,shape_index,circularity,elongation_xy,slenderness,rectangularity,footprint_density,bbox_volume,point_density_3d,lower_fraction,middle_fraction,upper_fraction,top_roughness,linearity,planarity,sphericity,anisotropy,curvature
 57.000000,  0.000000,  6.450000, 15.784695,  1.485937,  0.000854,247.329910,  4.148717,  0.874503,  1.240172,  0.319465,  0.752464, 37.876534,2120.071045,  4.418720,  0.219044,  0.390585,  0.390371,  0.217124,  0.518280,  0.287133,  0.194561,  0.805413,  0.116069
 58.000000,  0.000000,  3.580000,  7.449965,  0.673256,  0.002222, 58.972206,  1.929203,  0.793083,  1.767326,  0.334267,  0.908626, 38.153561,232.351349,  9.683610,  0.053778,  0.405778,  0.540444,  0.062733,  0.462717,  0.441100,  0.096150,  0.903817,  0.058865
 59.000000,  0.000000,  4.300000,  9.531341,  0.841403,  0.001286,219.539673,  3.847841,  0.847483,  1.152026,  0.252199,  0.870013, 35.410454,1085.064453,  7.164551,  0.069334,  0.302032,  0.628634,  0.098358,  0.203077,  0.768118,  0.028764,  0.971195,  0.015755
 60.000000,  0.000000,  9.450001, 10.056482,  0.889670,  0.000056,3478.116699, 12.247744,  0.541973,  3.897746,  0.075812,  0.872516, 36.112934,37670.613281,  3.334297,  0.012173,  0.461550,  0.526277,  0.517659,  0.653347,  0.261134,  0.085517,  0.914481,  0.059711
 61.000000,  0.000000,  4.850000,  8.277648,  0.665774,  0.000701,158.355118,  3.252809,  0.839644,  1.372092,  0.316167,  0.923348, 36.051880,831.780090,  6.863593,  0.041338,  0.444912,  0.513750,  0.142554,  0.221279,  0.235595,  0.543087,  0.456873,  0.233911
 62.000000,  0.000000,  5.329999,  7.821925,  0.697043,  0.001600,111.881706,  2.756289,  0.853297,  1.282498,  0.425379,  0.913932, 39.094860,652.487610,  6.703576,  0.037037,  0.592135,  0.370828,  0.231121,  0.323468,  0.172245,  0.504242,  0.495713,  0.231226
 63.000000,  0.000000,  3.710000,  6.548222,  0.629550,  0.001862,114.876930,  2.787702,  0.850100,  1.219535,  0.306359,  0.955301, 37.405247,446.135162,  9.631610,  0.044915,  0.241331,  0.713754,  0.048512,  0.567033,  0.398957,  0.033979,  0.965989,  0.023163
 64.000000,  0.000000,  9.420000, 10.379859,  1.575597,  0.000036,818.740662,  7.246402,  0.805951,  1.302527,  0.250332,  0.753121, 34.320999,10240.766602,  2.743935,  0.086299,  0.284520,  0.629182,  0.182805,  0.403836,  0.441306,  0.154843,  0.845142,  0.088432
 65.000000,  0.000000,  1.500000,  7.396196,  0.383254,  0.001349, 58.761795,  1.965135,  0.825848,  1.329350,  0.168162,  0.981764, 37.847713, 89.779922, 24.771683,  0.251349,  0.380396,  0.368255,  0.034380,  0.176131,  0.787038,  0.036787,  0.963169,  0.019772
 66.000000,  0.000000,  4.620000, 11.944334,  0.648615,  0.001108,261.616119,  3.839510,  0.708104,  1.831841,  0.173815,  0.678331, 31.041662,1781.822632,  4.557693,  0.036202,  0.236917,  0.726881,  0.072780,  0.416910,  0.404724,  0.178327,  0.821634,  0.101243
 67.000000,  0.000000,  7.139999, 17.334826,  1.475384,  0.000749,152.891281,  2.893018,  0.687907,  2.348887,  0.373431,  0.982358, 43.684631,1111.248413,  6.010357,  0.025603,  0.177721,  0.796676,  0.067381,  0.128311,  0.838352,  0.033291,  0.966663,  0.017476
 68.000000,  0.000000,  8.559999, 11.433320,  1.593766,  0.001424,248.824753,  4.117610,  0.856262,  1.025844,  0.513497,  0.918555, 39.505714,2318.794434,  4.239272,  0.033062,  0.450865,  0.516073,  0.246953,  0.454503,  0.275165,  0.270302,  0.729668,  0.148864
 69.000000,  0.000000,  7.490000,  9.306225,  1.826551,  0.000288,370.519592,  5.105546,  0.884063,  1.119337,  0.291440,  0.627923, 37.460907,4419.639648,  3.140527,  0.197767,  0.250216,  0.552017,  0.205088,  0.240450,  0.694482,  0.065038,  0.934932,  0.035646
 70.000000,  0.000000,  7.150001,  9.451998,  1.289736,  0.001172,213.336838,  3.720727,  0.815454,  1.543616,  0.374150,  0.901747, 39.988403,1691.559326,  5.043276,  0.053921,  0.306295,  0.639784,  0.180371,  0.785897,  0.014082,  0.199995,  0.799980,  0.141432
